Сайт;Тип блока;Заголовок;Описание;Дата и время;Картинка;Ссылка
lenta.ru;BIG;Американский авианосец зашел в Карибское море;;19:29;https://icdn.lenta.ru/images/2025/11/16/19/20251116193120620/owl_article_280_d3d1cf478c14892a4e57fd5dcd60141c.jpg;https://lenta.ru/news/2025/11/16/amerikanskiy-avianosets-zashel-v-karibskoe-more/
lenta.ru;MINI;Оценены шансы «Вашингтона» выйти в плей-офф НХЛ;;19:49;;https://lenta.ru/news/2025/11/16/otseneny-shansy-vashingtona-vyyti-v-pley-off-nhl/
lenta.ru;MINI;В Подмосковье из-за первого гололеда произошло массовое ДТП;;19:38;;https://lenta.ru/news/2025/11/16/v-podmoskovie-iz-za-pervogo-gololeda-proizoshlo-massovoe-dtp/
lenta.ru;MINI;Популярная певица прикрыла голую грудь пером на фото;;19:36;;https://lenta.ru/news/2025/11/16/populyarnaya-pevitsa-prikryla-goluyu-grud-perom-na-foto/
lenta.ru;MINI;В письмах Эпштейна нашли рассуждения о теориях заговора;;19:22;;https://lenta.ru/news/2025/11/16/epstein/
lenta.ru;MINI;Застигнутый за просмотром эротики американский конгрессмен возложил вину на Маска;;19:21;;https://lenta.ru/news/2025/11/16/zastignutyy-za-prosmotrom-erotiki-amerikanskiy-kongressmen-vozlozhil-vinu-na-maska/
lenta.ru;MINI;Россиян предупредили о риске сокращения жизни на 10-15 лет из-за опасного заболевания;;19:12;;https://lenta.ru/news/2025/11/16/rossiyan-predupredili-o-riske-sokrascheniya-zhizni-na-10-15-let-iz-za-opasnogo-zabolevaniya/
lenta.ru;MINI;В неопубликованных файлах Эпштейна найдены новые имена знаменитостей;;18:50;;https://lenta.ru/news/2025/11/16/v-neopublikovannyh-faylah-epshteyna-obnaruzheny-novye-imena-znamenitostey/
lenta.ru;MINI;Стало известно о поведении в колонии бывшего замглавы Росприроднадзора Митволя;;18:47;;https://lenta.ru/news/2025/11/16/stalo-izvestno-o-povedenii-v-kolonii-byvshego-zamglavy-rosprirodnadzora-mitvolya/
lenta.ru;MINI;Названы способы подготовить питомцев к зиме;;18:44;;https://lenta.ru/news/2025/11/16/pitomtsy/
lenta.ru;MINI;Нурмагомедов прокомментировал завоевание Махачевым второго чемпионского пояса;;18:44;;https://lenta.ru/news/2025/11/16/nurmagomedov-prokommentiroval-zavoevanie-mahachevym-vtorogo-chempionskogo-poyasa/
lenta.ru;MINI;Кардиолог назвал сохраняющие здоровье сердца продукты;;18:40;;https://lenta.ru/news/2025/11/16/kardiolog-nazval-sohranyayuschie-zdorovie-serdtsa-produkty/
lenta.ru;MINI;Российскую актрису обманули при покупке квартиры;;18:17;;https://lenta.ru/news/2025/11/16/rossiyskuyu-aktrisu-obmanuli-pri-pokupke-kvartiry/
lenta.ru;MINI;Умер известный российский американист;;18:12;;https://lenta.ru/news/2025/11/16/umer-izvestnyy-rossiyskiy-amerikanist/
lenta.ru;MINI;Розенбаум захотел ударить журналиста за вопрос о квартире;;17:31;;https://lenta.ru/news/2025/11/16/rozenbaum-zahotel-udarit-zhurnalista-za-vopros-o-kvartire/
lenta.ru;MINI;Россияне лишились элитных квартир, купленных в Египте 17 лет назад. Людей выгнали с вещами на улицу;;17:30;;https://lenta.ru/news/2025/11/16/rossiyane-lishilis-elitnyh-kvartir-kuplennyh-v-egipte-17-let-nazad-lyudey-vygnali-s-veschami-na-ulitsu/
lenta.ru;FEATURE;Почти 200 россиян заразили гепатитом в онкоцентре, очаг нашли в кабинете КТ.;Как в России скрывали массовые вспышки болезней?;00:01;https://icdn.lenta.ru/images/2025/11/14/14/20251114140638436/owl_feature_580_869676ad65b5f46f7c29ee0587ede4e6.jpg;https://lenta.ru/articles/2025/11/16/infections/
lenta.ru;BIG;«Тотальная доминация»;Махачев победил Маддалену, забрав второй пояс UFC. Теперь он официально стал круче Нурмагомедова;12:38;https://icdn.lenta.ru/images/2025/11/16/09/20251116095816773/owl_article_280_ae2ad2e76783ab22a2bf2f365c9369a1.jpg;https://lenta.ru/articles/2025/11/16/legko/
