'и'                  756 шт.
'не'                 543 шт.
'в'                  395 шт.
'алиса'              379 шт.
'она'                366 шт.
'что'                343 шт.
'на'                 283 шт.
'я'                  273 шт.
'а'                  233 шт.
'с'                  218 шт.
'как'                189 шт.
'это'                176 шт.
'все'                174 шт.
'он'                 141 шт.
'так'                135 шт.
'но'                 133 шт.
'ты'                 125 шт.
'сказала'            123 шт.
'к'                  106 шт.
'у'                  100 шт.
'же'                 99 шт.
'бы'                 95 шт.
'ей'                 94 шт.
'сказал'             91 шт.
'за'                 89 шт.
'было'               86 шт.
'ее'                 80 шт.
'только'             80 шт.
'мне'                77 шт.
'его'                68 шт.
'нет'                68 шт.
'если'               67 шт.
'они'                66 шт.
'по'                 65 шт.
'очень'              64 шт.
'то'                 63 шт.
'подумала'           61 шт.
'король'             60 шт.
'от'                 58 шт.
'тут'                58 шт.
'королева'           56 шт.
'квази'              55 шт.
'болванщик'          50 шт.
'еще'                50 шт.
'их'                 50 шт.
'вы'                 48 шт.
'из'                 48 шт.
'спросила'           47 шт.
'вот'                46 шт.
'грифон'             46 шт.
'нее'                45 шт.
'совсем'             45 шт.
'меня'               43 шт.
'о'                  43 шт.
'да'                 42 шт.
'конечно'            42 шт.
'ничего'             42 шт.
'снова'              42 шт.
'ни'                 41 шт.
'кролик'             40 шт.
'был'                39 шт.
'до'                 39 шт.
'когда'              39 шт.
'ну'                 39 шт.
'себя'               36 шт.
'была'               35 шт.
'герцогиня'          35 шт.
'ему'                35 шт.
'мышь'               34 шт.
'там'                34 шт.
'уже'                34 шт.
'алисе'              33 шт.
'наконец'            33 шт.
'про'                33 шт.
'заяц'               32 шт.
'кто'                31 шт.
'ли'                 31 шт.
'черепаха'           31 шт.
'отвечала'           30 шт.
'тогда'              30 шт.
'здесь'              29 шт.
'пока'               29 шт.
'соня'               29 шт.
'глаза'              28 шт.
'или'                28 шт.
'могла'              28 шт.
'может'              28 шт.
'мы'                 28 шт.
'него'               28 шт.
'них'                28 шт.
'голову'             27 шт.
'гусеница'           27 шт.
'кот'                27 шт.
'мартовский'         27 шт.
'теперь'             27 шт.
'алису'              26 шт.
'во'                 26 шт.
'ней'                26 шт.
'потом'              26 шт.
'себе'               26 шт.
'спросил'            26 шт.
'этом'               26 шт.
'больше'             25 шт.
'вдруг'              25 шт.
'время'              25 шт.
'минуту'             25 шт.
'начала'             25 шт.
'почему'             25 шт.
'со'                 25 шт.
'будет'              24 шт.
'глава'              24 шт.
'раз'                24 шт.
'такой'              24 шт.
'чтобы'              24 шт.
'вас'                23 шт.
'опять'              23 шт.
'без'                22 шт.
'немного'            22 шт.
'сказать'            22 шт.
'сначала'            22 шт.
'тебя'               22 шт.
'хочешь'             22 шт.
'этого'              22 шт.
'тебе'               21 шт.
'чтото'              21 шт.
'ах'                 20 шт.
'для'                20 шт.
'знаю'               20 шт.
'надо'               20 шт.
'слова'              20 шт.
'увидела'            20 шт.
'белый'              19 шт.
'ним'                19 шт.
'равно'              19 шт.
'этот'               19 шт.
'ведь'               18 шт.
'верно'              18 шт.
'вокруг'             18 шт.
'всегда'             18 шт.
'головой'            18 шт.
'голос'              18 шт.
'другой'             18 шт.
'знала'              18 шт.
'просто'             18 шт.
'эту'                18 шт.
'были'               17 шт.
'быть'               17 шт.
'где'                17 шт.
'головы'             17 шт.
'даже'               17 шт.
'заметила'           17 шт.
'лучше'              17 шт.
'никогда'            17 шт.
'ответил'            17 шт.
'под'                17 шт.
'произнес'           17 шт.
'сейчас'             17 шт.
'словно'             17 шт.
'чем'                17 шт.
'нас'                16 шт.
'ответила'           16 шт.
'продолжала'         16 шт.
'тоже'               16 шт.
'том'                16 шт.
'хоть'               16 шт.
'чего'               16 шт.
'билль'              15 шт.
'быстро'             15 шт.
'вам'                15 шт.
'видно'              15 шт.
'вниз'               15 шт.
'додо'               15 шт.
'думала'             15 шт.
'значит'             15 шт.
'один'               15 шт.
'одно'               15 шт.
'такое'              15 шт.
'тем'                15 шт.
'хорошо'             15 шт.
'еда'                14 шт.
'кажется'            14 шт.
'над'                14 шт.
'никак'              14 шт.
'нужно'              14 шт.
'продолжал'          14 шт.
'прямо'              14 шт.
'руку'               14 шт.
'стала'              14 шт.
'такая'              14 шт.
'б'                  13 шт.
'всего'              13 шт.
'всех'               13 шт.
'дальше'             13 шт.
'день'               13 шт.
'есть'               13 шт.
'знаешь'             13 шт.
'им'                 13 шт.
'мной'               13 шт.
'одной'              13 шт.
'оно'                13 шт.
