+----------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------------------+------------------------------------------------------+------------+------------+--------+------------------+---------------------------------------------------------------------------------------------+-------+
| Вакансия                                                                                           | URL                                                                                   | Компания                                             | min_salary | max_salary | Валюта | Опыт             | Адрес                                                                                       | Сайт  |
+----------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------------------+------------------------------------------------------+------------+------------+--------+------------------+---------------------------------------------------------------------------------------------+-------+
| Product DevOps / Senior SRE / Infrastructure Reliability Engineer                                  | https://novosibirsk.hh.ru/vacancy/127746634?query=Python&hhtmFrom=vacancy_search_list | Swarmica                                             |       None |       None | None   | Опыт более 6 лет | Новосибирск                                                                                 | hh.ru |
| Разработчик LLM RAG                                                                                | https://novosibirsk.hh.ru/vacancy/127709329?query=Python&hhtmFrom=vacancy_search_list | КВАТРОМАТИК                                          |       None |       None | None   | Опыт 3-6 лет     | Новосибирск, Большевистская улица, 35                                                       | hh.ru |
| Senior Rendering engineer C++ в 3D Карту                                                           | https://novosibirsk.hh.ru/vacancy/127703161?query=Python&hhtmFrom=vacancy_search_list | 2ГИС.RnD                                             |       None |       None | None   | Опыт 3-6 лет     | Новосибирск, площадь Карла Маркса, 7                                                        | hh.ru |
| C++ Team Lead в 3D Карту                                                                           | https://novosibirsk.hh.ru/vacancy/127702963?query=Python&hhtmFrom=vacancy_search_list | 2ГИС.RnD                                             |       None |       None | None   | Опыт 3-6 лет     | Новосибирск, площадь Карла Маркса, 7                                                        | hh.ru |
| Разработчик                                                                                        | https://novosibirsk.hh.ru/vacancy/127699423?query=Python&hhtmFrom=vacancy_search_list | Товарищ Гренкин                                      |     120000 |     180000 | ₽      | Опыт 3-6 лет     | Новосибирск                                                                                 | hh.ru |
| DSP-инженер                                                                                        | https://novosibirsk.hh.ru/vacancy/127696427?query=Python&hhtmFrom=vacancy_search_list | ООО «Предприятие «ЭЛТЕКС»                            |       None |       None | None   | Опыт 3-6 лет     | город Новосибирск, Окружная улица, 29в                                                      | hh.ru |
| Senior разработчик С++ в Телеметрию                                                                | https://novosibirsk.hh.ru/vacancy/127694019?query=Python&hhtmFrom=vacancy_search_list | UserGate                                             |       None |       None | None   | Опыт более 6 лет | Москва, Береговой проезд, 5Ак1                                                              | hh.ru |
| Ведущий Backend Разработчик Python\Django                                                          | https://novosibirsk.hh.ru/vacancy/127623615?query=Python&hhtmFrom=vacancy_search_list | ООО Подумай и Возьми                                 |     200000 |     300000 | ₽      | Опыт более 6 лет | Новосибирск                                                                                 | hh.ru |
| Junior Технический специалист на сопровождение процессов | Разработчик | Верстальщик | Программист | https://novosibirsk.hh.ru/vacancy/127622327?query=Python&hhtmFrom=vacancy_search_list | ИП Бонакер Александр Александрович                   |      60000 |      80000 | ₽      | Опыт 1-3 года    | Новосибирск, Обская улица, 46/2                                                             | hh.ru |
| Интернет-маркетолог (медицина)                                                                     | https://novosibirsk.hh.ru/vacancy/127619638?query=Python&hhtmFrom=vacancy_search_list | Группа компаний Мать и дитя                          |       None |       None | None   | Опыт 3-6 лет     | деревня Лапино, 1-е Успенское шоссе, 111                                                    | hh.ru |
| QA инженер (+Python AT)                                                                            | https://novosibirsk.hh.ru/vacancy/127614633?query=Python&hhtmFrom=vacancy_search_list | Центр финансовых технологий                          |       None |       None | None   | Без опыта        | Новосибирск, Советский район, микрорайон Академгородок, улица Мусы Джалиля, 11              | hh.ru |
| Python разработчик Middle в офис (город и Академ)                                                  | https://novosibirsk.hh.ru/vacancy/127613858?query=Python&hhtmFrom=vacancy_search_list | ООО Совкомбанк Технологии                            |       None |       None | None   | Опыт 3-6 лет     | Новосибирск, улица Кирова, 50                                                               | hh.ru |
| Специалист технической поддержки программных роботов (RPA)                                         | https://novosibirsk.hh.ru/vacancy/127603884?query=Python&hhtmFrom=vacancy_search_list | АО Гринатом. ИТ                                      |       None |       None | None   | Опыт 1-3 года    | Новосибирск                                                                                 | hh.ru |
| Системный администратор                                                                            | https://novosibirsk.hh.ru/vacancy/127603313?query=Python&hhtmFrom=vacancy_search_list | Hoff Tech                                            |       None |       None | None   | Опыт 1-3 года    | Новосибирск, Светлановская улица, 50к1                                                      | hh.ru |
| IP-Инженер                                                                                         | https://novosibirsk.hh.ru/vacancy/127596999?query=Python&hhtmFrom=vacancy_search_list | Адвирос                                              |       None |       None | None   | Опыт 1-3 года    | Самара                                                                                      | hh.ru |
| Операционист-технический специалист (junior, финтех)                                               | https://novosibirsk.hh.ru/vacancy/127596574?query=Python&hhtmFrom=vacancy_search_list | ООО Макс Финанс                                      |      60000 |        inf | ₽      | Опыт 1-3 года    | Красноярск                                                                                  | hh.ru |
| Data Engineer                                                                                      | https://novosibirsk.hh.ru/vacancy/127593209?query=Python&hhtmFrom=vacancy_search_list | ООО Финтехсофт                                       |       None |       None | None   | Опыт 1-3 года    | Новосибирск, улица Орджоникидзе, 40                                                         | hh.ru |
| Ведущий специалист (администрирование)                                                             | https://novosibirsk.hh.ru/vacancy/127592449?query=Python&hhtmFrom=vacancy_search_list | ЕВРАЗ. ИТ-специалисты                                |       None |       None | None   | Опыт 1-3 года    | Новосибирск                                                                                 | hh.ru |
| Data Scientist                                                                                     | https://novosibirsk.hh.ru/vacancy/127592071?query=Python&hhtmFrom=vacancy_search_list | ООО Финтехсофт                                       |       None |       None | None   | Опыт 1-3 года    | Новосибирск, улица Орджоникидзе, 40                                                         | hh.ru |
| Инженер-программист                                                                                | https://novosibirsk.hh.ru/vacancy/127564928?query=Python&hhtmFrom=vacancy_search_list | ООО Сибсайнс                                         |       None |       None | None   | Опыт 3-6 лет     | Новосибирск                                                                                 | hh.ru |
| Прикладной администратор                                                                           | https://novosibirsk.hh.ru/vacancy/127560424?query=Python&hhtmFrom=vacancy_search_list | Сбер для экспертов                                   |       None |       None | None   | Опыт 1-3 года    | Новосибирск                                                                                 | hh.ru |
| Стажер-разработчик бэкенда                                                                         | https://novosibirsk.hh.ru/vacancy/127548231?query=Python&hhtmFrom=vacancy_search_list | Яндекс                                               |       None |       None | None   | Без опыта        | Новосибирск                                                                                 | hh.ru |
| Senior Python Developer (в Бильбао, Испания)                                                       | https://novosibirsk.hh.ru/vacancy/127541075?query=Python&hhtmFrom=vacancy_search_list | the_covert                                           |       None |       None | None   | Опыт 3-6 лет     | провинция Бискайя, Басаури, Бильбао                                                         | hh.ru |
| DevSecOps-инженер                                                                                  | https://novosibirsk.hh.ru/vacancy/127537460?query=Python&hhtmFrom=vacancy_search_list | 2ГИС.Бизнес и управление                             |       None |       None | None   | Опыт 3-6 лет     | Новосибирск, площадь Карла Маркса, 7                                                        | hh.ru |
| Официант                                                                                           | https://novosibirsk.hh.ru/vacancy/127530981?query=Python&hhtmFrom=vacancy_search_list | ООО Питон                                            |      50000 |     150000 | ₽      | Без опыта        | Новосибирск, Ядринцевская улица, 21                                                         | hh.ru |
| Звукооператор / светорежисер                                                                       | https://novosibirsk.hh.ru/vacancy/127530969?query=Python&hhtmFrom=vacancy_search_list | ООО Питон                                            |      45000 |        inf | ₽      | Опыт 1-3 года    | Новосибирск, Ядринцевская улица, 21                                                         | hh.ru |
| Веб-аналитик                                                                                       | https://novosibirsk.hh.ru/vacancy/127526917?query=Python&hhtmFrom=vacancy_search_list | Вебзайм                                              |       None |       None | None   | Без опыта        | Новосибирск                                                                                 | hh.ru |
| Senior C++ Developer (в Бильбао, Испания)                                                          | https://novosibirsk.hh.ru/vacancy/127524585?query=Python&hhtmFrom=vacancy_search_list | the_covert                                           |       None |       None | None   | Опыт 3-6 лет     | провинция Бискайя, Басаури, Бильбао                                                         | hh.ru |
| BI-разработчик                                                                                     | https://novosibirsk.hh.ru/vacancy/127512833?query=Python&hhtmFrom=vacancy_search_list | Lime Credit Group                                    |       None |       None | None   | Опыт 3-6 лет     | Новосибирск, улица Кирова, 48                                                               | hh.ru |
| Python разработчик                                                                                 | https://novosibirsk.hh.ru/vacancy/127508230?query=Python&hhtmFrom=vacancy_search_list | Тензор                                               |     100000 |     250000 | ₽      | Опыт 1-3 года    | Новосибирск, Кавалерийская улица, 1                                                         | hh.ru |
| Frontend-разработчик                                                                               | https://novosibirsk.hh.ru/vacancy/127508058?query=Python&hhtmFrom=vacancy_search_list | Тензор                                               |     100000 |     250000 | ₽      | Опыт 1-3 года    | Новосибирск, Кавалерийская улица, 1                                                         | hh.ru |
| Специалист по исследованию данных                                                                  | https://novosibirsk.hh.ru/vacancy/127503370?query=Python&hhtmFrom=vacancy_search_list | Сбер для экспертов                                   |       None |       None | None   | Опыт 1-3 года    | Новосибирск                                                                                 | hh.ru |
| Backend-разработчик ( язык С )                                                                     | https://novosibirsk.hh.ru/vacancy/127500320?query=Python&hhtmFrom=vacancy_search_list | ООО ДЕМЛАБС                                          |     180000 |        inf | ₽      | Опыт 3-6 лет     | Новосибирск, Советский район, микрорайон Академгородок, Инженерная улица, 7/1               | hh.ru |
| Аналитик данных                                                                                    | https://novosibirsk.hh.ru/vacancy/127497929?query=Python&hhtmFrom=vacancy_search_list | ООО Города                                           |      80000 |        inf | ₽      | Опыт 1-3 года    | Новосибирск, Ядринцевская улица, 53/1                                                       | hh.ru |
| Старший системный администратор (международное направление)                                        | https://novosibirsk.hh.ru/vacancy/127496126?query=Python&hhtmFrom=vacancy_search_list | DNS Технологии                                       |     172000 |        inf | ₽      | Опыт более 6 лет | Новосибирск, проспект Димитрова, 4/1                                                        | hh.ru |
| Data Engineer                                                                                      | https://novosibirsk.hh.ru/vacancy/127476893?query=Python&hhtmFrom=vacancy_search_list | YourFit                                              |          0 |     170000 | ₽      | Опыт 1-3 года    | Новосибирск, Фабричная улица, 17/4                                                          | hh.ru |
| DevOps инженер (ученик)                                                                            | https://novosibirsk.hh.ru/vacancy/127446122?query=Python&hhtmFrom=vacancy_search_list | Aston                                                |      70000 |      80000 | ₽      | Без опыта        | Новосибирск                                                                                 | hh.ru |
| Python developer (Middle)                                                                          | https://novosibirsk.hh.ru/vacancy/127438652?query=Python&hhtmFrom=vacancy_search_list | ООО Майгрин Маркет                                   |     150000 |     250000 | ₽      | Опыт 3-6 лет     | Новосибирск, Советский район, микрорайон Академгородок, Инженерная улица, 7                 | hh.ru |
| Инженер-тестировщик электронных устройств (Junior)                                                 | https://novosibirsk.hh.ru/vacancy/127435237?query=Python&hhtmFrom=vacancy_search_list | ООО Унискан-Ризерч                                   |      55000 |      70000 | ₽      | Опыт 1-3 года    | Новосибирск, Советский район, микрорайон Академгородок, улица Арбузова, 4/26                | hh.ru |
| Специалист по тестированию электронных устройств (Embedded/Hardware)                               | https://novosibirsk.hh.ru/vacancy/127435232?query=Python&hhtmFrom=vacancy_search_list | ООО Унискан-Ризерч                                   |      70000 |      80000 | ₽      | Опыт 1-3 года    | Новосибирск, Советский район, микрорайон Академгородок, улица Арбузова, 4/26                | hh.ru |
| Инженер-электроник / инженер-электронщик                                                           | https://novosibirsk.hh.ru/vacancy/127422597?query=Python&hhtmFrom=vacancy_search_list | Алабуга. Проектный менеджмент                        |     127500 |        inf | ₽      | Без опыта        | Новосибирск                                                                                 | hh.ru |
| Сетевой инженер (IP, маршрутизация и коммутация) — Junior / Middle                                 | https://novosibirsk.hh.ru/vacancy/127417656?query=Python&hhtmFrom=vacancy_search_list | ООО АРВОСТРИМ                                        |       None |       None | None   | Опыт 1-3 года    | Новосибирск                                                                                 | hh.ru |
| Data Engineer (Middle)                                                                             | https://novosibirsk.hh.ru/vacancy/127404950?query=Python&hhtmFrom=vacancy_search_list | .wrk                                                 |       3300 |        inf | $      | Опыт 1-3 года    | Новосибирск                                                                                 | hh.ru |
| Программист (PHP / JS / MySQL / C#)                                                                | https://novosibirsk.hh.ru/vacancy/127403198?query=Python&hhtmFrom=vacancy_search_list | ООО Аурумсофт Рус                                    |      75000 |        inf | ₽      | Опыт 1-3 года    | Новосибирск, улица Фрунзе, 242                                                              | hh.ru |
| Python разработчик                                                                                 | https://novosibirsk.hh.ru/vacancy/127387947?query=Python&hhtmFrom=vacancy_search_list | ООО Восточная горнорудная компания                   |       None |       None | None   | Опыт 1-3 года    | Новосибирск                                                                                 | hh.ru |
| Главный аналитик Управления интегрированного риск-менеджмента                                      | https://novosibirsk.hh.ru/vacancy/127378111?query=Python&hhtmFrom=vacancy_search_list | Экспобанк                                            |       None |       None | None   | Опыт 1-3 года    | Новосибирск, Советская улица, 5                                                             | hh.ru |
| Ведущий it-разработчик (AI) туристической платформы                                                | https://novosibirsk.hh.ru/vacancy/127365068?query=Python&hhtmFrom=vacancy_search_list | ООО Благодар                                         |      15000 |        inf | ₽      | Опыт 1-3 года    | Новосибирск                                                                                 | hh.ru |
| Manual QA engineer                                                                                 | https://novosibirsk.hh.ru/vacancy/127364169?query=Python&hhtmFrom=vacancy_search_list | Центр финансовых технологий                          |       None |       None | None   | Без опыта        | Новосибирск                                                                                 | hh.ru |
| Главный специалист (аналитик данных)                                                               | https://novosibirsk.hh.ru/vacancy/127362011?query=Python&hhtmFrom=vacancy_search_list | Экспобанк                                            |     140000 |     140000 | ₽      | Опыт 1-3 года    | Новосибирск, Советская улица, 5                                                             | hh.ru |
| Python-разработчик                                                                                 | https://novosibirsk.hh.ru/vacancy/127356715?query=Python&hhtmFrom=vacancy_search_list | IBS                                                  |       None |       None | None   | Опыт 1-3 года    | Новосибирск                                                                                 | hh.ru |
| Data Analyst в команду антифрода (FinTech)                                                         | https://novosibirsk.hh.ru/vacancy/127353817?query=Python&hhtmFrom=vacancy_search_list | Koronatech                                           |       None |       None | None   | Опыт 1-3 года    | Новосибирск                                                                                 | hh.ru |
| Ведущий python программист/Senior                                                                  | https://novosibirsk.hh.ru/vacancy/127350566?query=Python&hhtmFrom=vacancy_search_list | ООО Авантелеком                                      |       None |       None | None   | Опыт более 6 лет | Новосибирск, проспект Димитрова, 1                                                          | hh.ru |
| DevOps Middle (IoT)                                                                                | https://novosibirsk.hh.ru/vacancy/127350248?query=Python&hhtmFrom=vacancy_search_list | ООО «Предприятие «ЭЛТЕКС»                            |       None |       None | None   | Опыт 3-6 лет     | город Новосибирск, Окружная улица, 29в                                                      | hh.ru |
| Аналитик фрод-мониторинга                                                                          | https://novosibirsk.hh.ru/vacancy/127340987?query=Python&hhtmFrom=vacancy_search_list | Koronatech                                           |       None |       None | None   | Опыт 1-3 года    | Новосибирск                                                                                 | hh.ru |
| Риск-аналитик                                                                                      | https://novosibirsk.hh.ru/vacancy/127340169?query=Python&hhtmFrom=vacancy_search_list | ООО Финтех Айкью                                     |       None |       None | None   | Опыт 1-3 года    | Новосибирск                                                                                 | hh.ru |
| Backend-разработчик                                                                                | https://novosibirsk.hh.ru/vacancy/127339510?query=Python&hhtmFrom=vacancy_search_list | ООО «Предприятие «ЭЛТЕКС»                            |       None |       None | None   | Опыт 3-6 лет     | город Новосибирск, Окружная улица, 29в                                                      | hh.ru |
| Системный аналитик                                                                                 | https://novosibirsk.hh.ru/vacancy/127338671?query=Python&hhtmFrom=vacancy_search_list | ООО Агентство современных коммуникаций Директ Сервис |       None |       None | None   | Опыт 1-3 года    | Новосибирск, Ядринцевская улица, 68/1                                                       | hh.ru |
| DevOps Middle (Elph Services)                                                                      | https://novosibirsk.hh.ru/vacancy/127307634?query=Python&hhtmFrom=vacancy_search_list | ООО «Предприятие «ЭЛТЕКС»                            |       None |       None | None   | Опыт 3-6 лет     | город Новосибирск, Окружная улица, 29в                                                      | hh.ru |
| Разработчик силовой электроники                                                                    | https://novosibirsk.hh.ru/vacancy/127306534?query=Python&hhtmFrom=vacancy_search_list | IP Corporation                                       |      90000 |        inf | ₽      | Опыт 1-3 года    | Новосибирск, улица Плахотного, 131А                                                         | hh.ru |
| Аналитик данных                                                                                    | https://novosibirsk.hh.ru/vacancy/127294177?query=Python&hhtmFrom=vacancy_search_list | Сеть магазинов цифровой и бытовой техники DNS        |      80500 |     142500 | ₽      | Без опыта        | Новосибирск, улица Федосеева, 24/3                                                          | hh.ru |
| Senior Back-end developer из Новосибирска                                                          | https://novosibirsk.hh.ru/vacancy/127278449?query=Python&hhtmFrom=vacancy_search_list | ООО СофтМолл                                         |       None |       None | None   | Опыт 3-6 лет     | Новосибирск, улица Фрунзе, 88                                                               | hh.ru |
| Преподаватель Питона/Python в колледж                                                              | https://novosibirsk.hh.ru/vacancy/127268759?query=Python&hhtmFrom=vacancy_search_list | АО ЭДУТЕХ ГРУПП                                      |          0 |      57000 | ₽      | Опыт 1-3 года    | Новосибирск, улица Восход, 20                                                               | hh.ru |
