{'$or': ({'$and': ({'currency': '₽'},
                   {'min_salary': {'$lte': 250000}},
                   {'max_salary': {'$gte': 250000}})},
         {'$and': ({'currency': '$'},
                   {'min_salary': {'$lte': 25000000}},
                   {'max_salary': {'$gte': 25000000}})},
         {'$and': ({'currency': '€'},
                   {'min_salary': {'$lte': 27500000}},
                   {'max_salary': {'$gte': 27500000}})},
         {'$and': ({'currency': '₴'},
                   {'min_salary': {'$lte': 625000.0}},
                   {'max_salary': {'$gte': 625000.0}})},
         {'$and': ({'currency': '₸'},
                   {'min_salary': {'$lte': 50000.0}},
                   {'max_salary': {'$gte': 50000.0}})},
         {'$and': ({'currency': '£'},
                   {'min_salary': {'$lte': 32500000}},
                   {'max_salary': {'$gte': 32500000}})})}
+-------------------------------------------------------------+---------------------------------------------------------------------------------------+---------------------------------+------------+------------+--------+------------------+-------------------------------------------------------------------------------+-------+
| Вакансия                                                    | URL                                                                                   | Компания                        | min_salary | max_salary | Валюта | Опыт             | Адрес                                                                         | Сайт  |
+-------------------------------------------------------------+---------------------------------------------------------------------------------------+---------------------------------+------------+------------+--------+------------------+-------------------------------------------------------------------------------+-------+
| Ведущий Backend Разработчик Python\Django                   | https://novosibirsk.hh.ru/vacancy/127623615?query=Python&hhtmFrom=vacancy_search_list | ООО Подумай и Возьми            |     200000 |     300000 | ₽      | Опыт более 6 лет | Новосибирск                                                                   | hh.ru |
| Операционист-технический специалист (junior, финтех)        | https://novosibirsk.hh.ru/vacancy/127596574?query=Python&hhtmFrom=vacancy_search_list | ООО Макс Финанс                 |      60000 |        inf | ₽      | Опыт 1-3 года    | Красноярск                                                                    | hh.ru |
| Звукооператор / светорежисер                                | https://novosibirsk.hh.ru/vacancy/127530969?query=Python&hhtmFrom=vacancy_search_list | ООО Питон                       |      45000 |        inf | ₽      | Опыт 1-3 года    | Новосибирск, Ядринцевская улица, 21                                           | hh.ru |
| Python разработчик                                          | https://novosibirsk.hh.ru/vacancy/127508230?query=Python&hhtmFrom=vacancy_search_list | Тензор                          |     100000 |     250000 | ₽      | Опыт 1-3 года    | Новосибирск, Кавалерийская улица, 1                                           | hh.ru |
| Frontend-разработчик                                        | https://novosibirsk.hh.ru/vacancy/127508058?query=Python&hhtmFrom=vacancy_search_list | Тензор                          |     100000 |     250000 | ₽      | Опыт 1-3 года    | Новосибирск, Кавалерийская улица, 1                                           | hh.ru |
| Backend-разработчик ( язык С )                              | https://novosibirsk.hh.ru/vacancy/127500320?query=Python&hhtmFrom=vacancy_search_list | ООО ДЕМЛАБС                     |     180000 |        inf | ₽      | Опыт 3-6 лет     | Новосибирск, Советский район, микрорайон Академгородок, Инженерная улица, 7/1 | hh.ru |
| Аналитик данных                                             | https://novosibirsk.hh.ru/vacancy/127497929?query=Python&hhtmFrom=vacancy_search_list | ООО Города                      |      80000 |        inf | ₽      | Опыт 1-3 года    | Новосибирск, Ядринцевская улица, 53/1                                         | hh.ru |
| Старший системный администратор (международное направление) | https://novosibirsk.hh.ru/vacancy/127496126?query=Python&hhtmFrom=vacancy_search_list | DNS Технологии                  |     172000 |        inf | ₽      | Опыт более 6 лет | Новосибирск, проспект Димитрова, 4/1                                          | hh.ru |
| Python developer (Middle)                                   | https://novosibirsk.hh.ru/vacancy/127438652?query=Python&hhtmFrom=vacancy_search_list | ООО Майгрин Маркет              |     150000 |     250000 | ₽      | Опыт 3-6 лет     | Новосибирск, Советский район, микрорайон Академгородок, Инженерная улица, 7   | hh.ru |
