Функция: 3 ^ x mod 15
synth:
+-------------------------+
| x₄ x₃ x₂ x₁ f₄ f₃ f₂ f₁ |
+-------------------------+
|  0  0  0  0  0  0  0  1 |
|  0  0  0  1  0  0  1  1 |
|  0  0  1  0  1  0  0  1 |
|  0  0  1  1  1  1  0  0 |
|  0  1  0  0  0  1  1  0 |
|  0  1  0  1  0  0  1  1 |
|  0  1  1  0  1  0  0  1 |
|  0  1  1  1  1  1  0  0 |
|  1  0  0  0  0  1  1  0 |
|  1  0  0  1  0  0  1  1 |
|  1  0  1  0  1  0  0  1 |
|  1  0  1  1  1  1  0  0 |
|  1  1  0  0  0  1  1  0 |
|  1  1  0  1  0  0  1  1 |
|  1  1  1  0  1  0  0  1 |
|  1  1  1  1  1  1  0  0 |
+-------------------------+
f:
+-------------------------+
| x₄ x₃ x₂ x₁ y₄ y₃ y₂ y₁ |
+-------------------------+
|  0  0  0  0  0  0  0  0 |
|  0  0  0  0  0  0  0  1 |
|  0  0  0  0  0  0  1  0 |
|  0  0  0  0  0  0  1  1 |
|  0  0  0  0  0  1  0  0 |
|  0  0  0  0  0  1  0  1 |
|  0  0  0  0  0  1  1  0 |
|  0  0  0  0  0  1  1  1 |
|  0  0  0  0  1  0  0  0 |
|  0  0  0  0  1  0  0  1 |
|  0  0  0  0  1  0  1  0 |
|  0  0  0  0  1  0  1  1 |
|  0  0  0  0  1  1  0  0 |
|  0  0  0  0  1  1  0  1 |
|  0  0  0  0  1  1  1  0 |
|  0  0  0  0  1  1  1  1 |
|  0  0  0  1  0  0  0  0 |
|  0  0  0  1  0  0  0  1 |
|  0  0  0  1  0  0  1  0 |
|  0  0  0  1  0  0  1  1 |
|  0  0  0  1  0  1  0  0 |
|  0  0  0  1  0  1  0  1 |
|  0  0  0  1  0  1  1  0 |
|  0  0  0  1  0  1  1  1 |
|  0  0  0  1  1  0  0  0 |
|  0  0  0  1  1  0  0  1 |
|  0  0  0  1  1  0  1  0 |
|  0  0  0  1  1  0  1  1 |
|  0  0  0  1  1  1  0  0 |
|  0  0  0  1  1  1  0  1 |
|  0  0  0  1  1  1  1  0 |
|  0  0  0  1  1  1  1  1 |
|  0  0  1  0  0  0  0  0 |
|  0  0  1  0  0  0  0  1 |
|  0  0  1  0  0  0  1  0 |
|  0  0  1  0  0  0  1  1 |
|  0  0  1  0  0  1  0  0 |
|  0  0  1  0  0  1  0  1 |
|  0  0  1  0  0  1  1  0 |
|  0  0  1  0  0  1  1  1 |
|  0  0  1  0  1  0  0  0 |
|  0  0  1  0  1  0  0  1 |
|  0  0  1  0  1  0  1  0 |
|  0  0  1  0  1  0  1  1 |
|  0  0  1  0  1  1  0  0 |
|  0  0  1  0  1  1  0  1 |
|  0  0  1  0  1  1  1  0 |
|  0  0  1  0  1  1  1  1 |
|  0  0  1  1  0  0  0  0 |
|  0  0  1  1  0  0  0  1 |
|  0  0  1  1  0  0  1  0 |
|  0  0  1  1  0  0  1  1 |
|  0  0  1  1  0  1  0  0 |
|  0  0  1  1  0  1  0  1 |
|  0  0  1  1  0  1  1  0 |
|  0  0  1  1  0  1  1  1 |
|  0  0  1  1  1  0  0  0 |
|  0  0  1  1  1  0  0  1 |
|  0  0  1  1  1  0  1  0 |
|  0  0  1  1  1  0  1  1 |
|  0  0  1  1  1  1  0  0 |
|  0  0  1  1  1  1  0  1 |
|  0  0  1  1  1  1  1  0 |
|  0  0  1  1  1  1  1  1 |
|  0  1  0  0  0  0  0  0 |
|  0  1  0  0  0  0  0  1 |
|  0  1  0  0  0  0  1  0 |
|  0  1  0  0  0  0  1  1 |
|  0  1  0  0  0  1  0  0 |
|  0  1  0  0  0  1  0  1 |
|  0  1  0  0  0  1  1  0 |
|  0  1  0  0  0  1  1  1 |
|  0  1  0  0  1  0  0  0 |
|  0  1  0  0  1  0  0  1 |
|  0  1  0  0  1  0  1  0 |
|  0  1  0  0  1  0  1  1 |
|  0  1  0  0  1  1  0  0 |
|  0  1  0  0  1  1  0  1 |
|  0  1  0  0  1  1  1  0 |
|  0  1  0  0  1  1  1  1 |
|  0  1  0  1  0  0  0  0 |
|  0  1  0  1  0  0  0  1 |
|  0  1  0  1  0  0  1  0 |
|  0  1  0  1  0  0  1  1 |
|  0  1  0  1  0  1  0  0 |
|  0  1  0  1  0  1  0  1 |
|  0  1  0  1  0  1  1  0 |
|  0  1  0  1  0  1  1  1 |
|  0  1  0  1  1  0  0  0 |
|  0  1  0  1  1  0  0  1 |
|  0  1  0  1  1  0  1  0 |
|  0  1  0  1  1  0  1  1 |
|  0  1  0  1  1  1  0  0 |
|  0  1  0  1  1  1  0  1 |
|  0  1  0  1  1  1  1  0 |
|  0  1  0  1  1  1  1  1 |
|  0  1  1  0  0  0  0  0 |
|  0  1  1  0  0  0  0  1 |
|  0  1  1  0  0  0  1  0 |
|  0  1  1  0  0  0  1  1 |
|  0  1  1  0  0  1  0  0 |
|  0  1  1  0  0  1  0  1 |
