base,mode,std,low,avg,high
BOSSbase,LSB (not adaptive),0.026166885121093133,51.10681031907954,51.11193893432617,51.117067549572795
BOSSbase,central,0.025453073557378966,51.152113034854615,51.157101745605466,51.16209045635632
BOSSbase,scharr3,0.024960644089750062,51.15351264984278,51.15840484619141,51.16329704254004
BOSSbase,prewitt3,0.025463073016837257,51.15474169023095,51.15973236083985,51.164723031448744
BOSSbase,prewitt5,0.023412485816017913,51.15434323630405,51.158931999206544,51.16352076210904
BOSSbase,sobel3,0.026034009041134683,51.15209625763739,51.15719882965088,51.16230140166437
BOSSbase,sobel5,0.02649111012359091,51.15302751860668,51.15821968078613,51.16341184296559
BOSSbase,sobel7,0.025319610062214837,51.15379023234255,51.158752784729,51.163715337115455
medical,LSB (not adaptive),0.09594215790791648,51.12496483235526,51.143769149780276,51.16257346720529
medical,central,0.08478690936918142,51.15804008350434,51.17465801239014,51.19127594127594
medical,scharr3,0.08488228005813171,51.15620181874404,51.17283843994141,51.18947506113878
medical,prewitt3,0.08443125522456285,51.15831566964725,51.17486389160156,51.19141211355587
medical,prewitt5,0.08375602198999167,51.15895212517311,51.175368003845215,51.19178388251732
medical,sobel3,0.08315141364764818,51.15923839661652,51.17553577423096,51.191833151845394
medical,sobel5,0.08328536357273403,51.158377944915564,51.17470157623291,51.19102520755026
medical,sobel7,0.08302279601147138,51.159172395798386,51.17544456481934,51.19171673384029
portrait,LSB (not adaptive),0.03835344115160033,51.12234351276879,51.129860649108885,51.137377785448976
portrait,central,0.03745254923423784,51.16759706493096,51.174937629699706,51.18227819446845
portrait,scharr3,0.03673022469119546,51.16652827264461,51.1737272644043,51.180926256163985
portrait,prewitt3,0.03635540167557071,51.16673414474788,51.173859672546385,51.18098520034489
portrait,prewitt5,0.03652622577430286,51.16748843697206,51.17464744567871,51.18180645438536
portrait,sobel3,0.037163200524923876,51.168271795339926,51.17555564880371,51.18283950226749
portrait,sobel5,0.036946186234131394,51.164640356275875,51.171881675720215,51.179122995164555
portrait,sobel7,0.037055924543230895,51.16851327240098,51.17577610015869,51.18303892791641
