"(du, dv)",L,std,low,avg,high,avg_capacity
"(2, 2)",0,0.23413709,49.75258806,49.79847809,49.84436811,44671.17
"(2, 2)",1,0.362787502,44.03789097,44.10899601,44.18010105,74653.63
"(2, 2)",2,0.463808538,40.80179554,40.89270035,40.98360515,100198.76
"(2, 2)",3,0.520146354,38.50589628,38.60784309,38.70978991,117724.9
"(2, 2)",4,0.560806032,36.6906995,36.80061546,36.91053143,129063.39
"(2, 2)",5,0.59487261,35.21542486,35.33201775,35.44861064,138713.61
"(2, 2)",6,0.626451711,33.94379491,34.06657719,34.18935947,145708.77
"(2, 2)",7,0.652632217,32.84995753,32.97787109,33.10578466,152179.73
"(2, 2)",8,0.680586892,31.85879723,31.99218981,32.12558239,156679.9
"(2, 2)",9,0.710904025,30.9620765,31.10141113,31.24074576,160592.94
"(3, 3)",0,0.216693053,48.99065032,49.03312138,49.07559243,47229.38
"(3, 3)",1,0.332719955,43.25010028,43.31531219,43.38052411,79802.43
"(3, 3)",2,0.430541599,39.99340642,40.07779102,40.16217563,108141.52
"(3, 3)",3,0.484543701,37.69218133,37.78715015,37.88211897,128237.64
"(3, 3)",4,0.522437485,35.87719585,35.97959171,36.08198758,141507.96
"(3, 3)",5,0.555604883,34.40567893,34.51457548,34.62347204,153103.19
"(3, 3)",6,0.585890499,33.13901597,33.2538484,33.36868083,161659.23
"(3, 3)",7,0.611201908,32.05315844,32.17295181,32.29274519,169734.8
"(3, 3)",8,0.638350108,31.06956246,31.19467678,31.3197911,175425.9
"(3, 3)",9,0.66727313,30.1810393,30.31182243,30.44260556,180446.82
"(4, 4)",0,0.213854532,48.75020633,48.79212105,48.83403577,48412.48
"(4, 4)",1,0.326806619,43.00139203,43.06544495,43.12949787,82109.16
"(4, 4)",2,0.423602088,39.73782349,39.82084797,39.90387245,111651.98
"(4, 4)",3,0.47736541,37.43539527,37.52895718,37.62251908,132905.16
"(4, 4)",4,0.514530513,35.6204255,35.72127163,35.82211776,146983.04
"(4, 4)",5,0.547948377,34.14981749,34.2572134,34.36460931,159457.96
"(4, 4)",6,0.577595728,32.8849829,32.99818958,33.11139627,168685.49
"(4, 4)",7,0.602227763,31.80202778,31.92006226,32.03809673,177461.14
"(4, 4)",8,0.628615965,30.82101022,30.94421669,31.06742316,183657.66
"(4, 4)",9,0.657920298,29.93458419,30.0635342,30.19248421,189157.99
"(2, 3)",0,0.216491521,49.26280266,49.30523422,49.34766578,44384.98
"(2, 3)",1,0.335940204,43.52058695,43.58643002,43.65227309,74988.06
"(2, 3)",2,0.435512153,40.26228042,40.34763924,40.43299805,101676.72
"(2, 3)",3,0.490509762,37.95923237,38.05537052,38.15150867,120585.56
"(2, 3)",4,0.53028091,36.14225139,36.24618454,36.35011769,133051.65
"(2, 3)",5,0.563898264,34.66927343,34.77979546,34.89031748,143962.24
"(2, 3)",6,0.594406143,33.40169745,33.51819891,33.63470037,152005.85
"(2, 3)",7,0.62061087,32.31480385,32.43644135,32.55807884,159598.44
"(2, 3)",8,0.647893811,31.32976714,31.456752,31.58373685,164955.52
"(2, 3)",9,0.677513273,30.44009451,30.57288467,30.70567484,169681.03
"(3, 2)",0,0.220844178,49.27397986,49.31726452,49.36054918,45675.04
"(3, 2)",1,0.342441979,43.53869689,43.60581429,43.67293168,76916.89
"(3, 2)",2,0.440345807,40.28638504,40.37269123,40.45899742,103924.57
"(3, 2)",3,0.49458209,37.98581916,38.08275547,38.17969178,122955.7
"(3, 2)",4,0.534248818,36.17066025,36.27537109,36.38008194,135479.53
"(3, 2)",5,0.567665849,34.69858413,34.80984459,34.92110505,146396.18
"(3, 2)",6,0.598863216,33.43073066,33.5481057,33.66548073,154407.11
"(3, 2)",7,0.624839312,32.34342375,32.46589001,32.58835626,161943.91
"(3, 2)",8,0.652200291,31.35789484,31.48572374,31.61355265,167236.04
"(3, 2)",9,0.682085669,30.46765081,30.60133715,30.73502348,171882.04
