"(du, dv)",L,std,low,avg,high,avg_capacity
"(2, 2)",0,0.8679339631258035,48.69259596999526,48.862707901000974,49.03281983200669,93255.53
"(2, 2)",1,0.8408170245164894,42.77408003516295,42.93887714385986,43.10367425255677,129183.49
"(2, 2)",2,0.8281943591555242,39.19193943097934,39.35426254272461,39.516585654469885,151950.11
"(2, 2)",3,0.8343239913206412,36.65181459086549,36.81533908843994,36.97886358601439,164749.41
"(2, 2)",4,0.84563406441067,34.64016151693978,34.80590274810791,34.971643979276045,171402.54
"(2, 2)",5,0.8609668829793509,32.996594968870134,33.1653413772583,33.33408778564647,176293.65
"(2, 2)",6,0.8733593239414368,31.595964362436053,31.7671396446228,31.93831492680955,179675.14
"(2, 2)",7,0.8839872732314075,30.385064832477248,30.558323154449464,30.73158147642168,182426.03
"(2, 2)",8,0.8926412199152117,29.305570819457458,29.480525283813478,29.655479748169498,184128.29
"(2, 2)",9,0.9010144413373977,28.33602160190045,28.5126171875,28.68921277309955,185600.71
"(3, 3)",0,0.7798721681331596,48.07304530934687,48.22589744567871,48.378749582010556,103146.26
"(3, 3)",1,0.7671242137849117,42.173640214112325,42.32399379730224,42.47434738049216,144617.81
"(3, 3)",2,0.7548604466299408,38.598206343894056,38.746156272888186,38.894106201882316,171216.32
"(3, 3)",3,0.7695433918817879,36.07529134620533,36.22611907958984,36.37694681297435,187124.78
"(3, 3)",4,0.7891952064778451,34.0739228003564,34.22860221862793,34.383281636899454,195557.98
"(3, 3)",5,0.8109618213303832,32.44009340507225,32.599039001464845,32.757984597857444,201957.79
"(3, 3)",6,0.8278854314606026,31.047269659718168,31.209532222747804,31.37179478577744,206462.51
"(3, 3)",7,0.8431148743768225,29.844286498514464,30.009533977508546,30.17478145650263,210225.96
"(3, 3)",8,0.8544544252851256,28.769981334328904,28.93745132446289,29.10492131459688,212538.68
"(3, 3)",9,0.8657493649407574,27.804386543426876,27.974070301055907,28.143754058684937,214575.33
"(4, 4)",0,0.7697310009392837,47.84902082611607,47.99988533020019,48.15074983428432,108068.27
"(4, 4)",1,0.7606963855024008,41.95552371016255,42.1046174621582,42.25371121415385,151939.87
"(4, 4)",2,0.7418708182574859,38.37661930681587,38.522023315429685,38.6674273240435,180042.7
"(4, 4)",3,0.7569931696788023,35.85694178024006,36.005309715271,36.15367765030194,197174.19
"(4, 4)",4,0.7753154979145105,33.859866134674384,34.01182518005371,34.16378422543304,206293.09
"(4, 4)",5,0.7961406655696353,32.22873764377516,32.384778347015384,32.54081905025561,213251.82
"(4, 4)",6,0.8123936633754182,30.838001093162646,30.997227325439454,31.15645355771626,218184.79
"(4, 4)",7,0.8264777082873592,29.637515489502427,29.799502143859865,29.961488798217303,222293.29
"(4, 4)",8,0.8371073152404954,28.565396762577297,28.72946678161621,28.893536800655124,224832.02
"(4, 4)",9,0.8477151261212209,27.600715035417586,27.76686414718628,27.933013258954972,227075.89
"(2, 3)",0,0.8071019645077367,48.29417870423657,48.45236778259277,48.610556860948975,97196.35
"(2, 3)",1,0.789343077320066,42.38467010909742,42.539378509521484,42.69408690994555,136035.83
"(2, 3)",2,0.7728256106306038,38.804690233702864,38.9561612701416,39.107632306580335,160970.45
"(2, 3)",3,0.7856906506970033,36.27776145984299,36.43175399780274,36.58574653576248,175971.11
"(2, 3)",4,0.8022914052946063,34.274969998595296,34.43221622467041,34.58946245074553,183926.7
"(2, 3)",5,0.8224270743066219,32.6400858273974,32.801278572082516,32.96247131676763,189971.81
"(2, 3)",6,0.8388028799758085,31.246168659339556,31.410571002960204,31.57497334658085,194221.04
"(2, 3)",7,0.8530894879924978,30.041521325689484,30.208723793029787,30.37592626037009,197767.1
"(2, 3)",8,0.8639614062756166,28.96685981776746,29.136193141937255,29.30552646610705,199938.91
"(2, 3)",9,0.8741135733898179,28.000324264651873,28.17164737701416,28.342970489376448,201855.75
"(3, 2)",0,0.8086253033450397,48.303458458674854,48.46194610595703,48.62043375323921,98138.0
"(3, 2)",1,0.7945499832161363,42.40181909181097,42.55754802703857,42.71327696226617,137777.83
"(3, 2)",2,0.7782330713858103,38.81878500054939,38.97131587982178,39.12384675909417,162922.59
"(3, 2)",3,0.791289477068418,36.289783731314586,36.44487361907959,36.59996350684459,177737.56
"(3, 2)",4,0.8081354295752944,34.286027464112856,34.44441909790039,34.60281073168793,185566.72
"(3, 2)",5,0.8270956786701235,32.650233477046385,32.81234125137329,32.974449025700196,191461.6
"(3, 2)",6,0.8424606479855217,31.25449199122415,31.41961124420166,31.584730497179173,195610.48
"(3, 2)",7,0.8565447936602572,30.049627839219813,30.2175075340271,30.385387228834386,199021.87
"(3, 2)",8,0.8668360060317207,28.973647671521423,29.143544406890868,29.313441142260313,201134.88
"(3, 2)",9,0.8768741756026346,28.006183400264995,28.178047580718996,28.349911761172997,202975.8
