"(du, dv)",L,std,low,avg,high,avg_capacity
"(2, 2)",0,0.4013490171674302,49.681945177086796,49.760608139038084,49.83927110098937,39185.99
"(2, 2)",1,0.4794107901283859,43.97000041510927,44.06396320343018,44.157925991751085,67466.89
"(2, 2)",2,0.5666105119097126,40.760113830201156,40.87116744995117,40.98222106970119,93246.84
"(2, 2)",3,0.5907034425269645,38.50907826415264,38.624854011535646,38.74062975891865,112436.29
"(2, 2)",4,0.5952560776903175,36.75276665253299,36.86943470001221,36.98610274749142,126012.47
"(2, 2)",5,0.5955665062411065,35.32549856859666,35.44222745895386,35.55895634931106,137210.13
"(2, 2)",6,0.592454157373964,34.10039553455295,34.21651441574097,34.33263329692898,145470.73
"(2, 2)",7,0.5883841050839788,33.04797976824087,33.16330093383789,33.278622099434905,153038.78
"(2, 2)",8,0.5881441366528001,32.09593587025045,32.21121000289917,32.326484135547894,158238.3
"(2, 2)",9,0.5925165210353288,31.239437857856117,31.355568962097166,31.471700066338215,162655.92
"(3, 3)",0,0.35303598831265814,48.887991848508626,48.95718563079834,49.02637941308806,38748.97
"(3, 3)",1,0.4218249518097942,43.13175654497022,43.21443271636963,43.297108887769035,67921.64
"(3, 3)",2,0.5173933888528848,39.8905649576055,39.99197219848633,40.09337943936716,96136.92
"(3, 3)",3,0.5544586104451051,37.62837885227636,37.737050743103026,37.84572263392969,118393.3
"(3, 3)",4,0.5674777703975444,35.869673770094465,35.98089736938476,36.09212096867506,134623.56
"(3, 3)",5,0.5753327489365586,34.44664185579887,34.55940500259399,34.67216814938911,148559.11
"(3, 3)",6,0.5756307515891196,33.227930971087794,33.34075252532959,33.45357407957139,158992.88
"(3, 3)",7,0.5726857079447015,32.18498602183004,32.29723035812378,32.40947469441751,168776.31
"(3, 3)",8,0.5726991640810624,31.241637933120796,31.353884906768798,31.4661318804168,175620.73
"(3, 3)",9,0.5759406240425188,30.39319311317946,30.506075401306152,30.618957689432843,181511.15
"(4, 4)",0,0.3521033949936393,48.65849327510312,48.72750427246094,48.79651526981876,41142.2
"(4, 4)",1,0.4165950114633802,42.89787864034151,42.979529762268065,43.06118088419462,71581.56
"(4, 4)",2,0.5113051299735417,39.65288597337231,39.75309993743897,39.85331390150563,101132.65
"(4, 4)",3,0.5478046172928006,37.38702569285537,37.49439342498779,37.601761157120215,124411.8
"(4, 4)",4,0.5607351536631973,35.625207716294156,35.7351097869873,35.84501185768045,141382.96
"(4, 4)",5,0.5684175477065196,34.19938799173823,34.31079578399658,34.42220357625494,155947.33
"(4, 4)",6,0.5680478415285655,32.97914512994168,33.090480461120606,33.201815792299534,166902.15
"(4, 4)",7,0.5660037999719199,31.934711884791312,32.045646591186525,32.15658129758174,177216.23
"(4, 4)",8,0.5650450768319408,30.99122480709574,31.101971607208252,31.212718407320764,184461.77
"(4, 4)",9,0.5680484225869599,30.142711910587575,30.254047355651856,30.365382800716137,190699.7
"(2, 3)",0,0.36436683444190404,49.17288778083979,49.244302368164064,49.31571695548834,37289.81
"(2, 3)",1,0.435522064957246,43.42165996518786,43.507020721435545,43.59238147768323,65200.06
"(2, 3)",2,0.5280270543035575,40.18253868168943,40.28603008270264,40.389521483715846,91835.87
"(2, 3)",3,0.5617476371158597,37.92044838298603,38.030548896789554,38.14064941059308,112714.34
"(2, 3)",4,0.5735664974534598,36.160209565642916,36.2726265335083,36.38504350137369,127882.41
"(2, 3)",5,0.5789167294341366,34.73611673473105,34.84958232879639,34.963047922861726,140878.92
"(2, 3)",6,0.5791879042827336,33.515677538074044,33.6291962814331,33.74271502479216,150598.55
"(2, 3)",7,0.5765763310129538,32.47107436483359,32.58408124923706,32.69708813364053,159701.4
"(2, 3)",8,0.576791762437123,31.526431177457777,31.63948028564453,31.752529393831285,166063.79
"(2, 3)",9,0.5804665086318861,30.677096285896774,30.790865631103514,30.904634976310255,171519.67
"(3, 2)",0,0.3651565741984158,49.172169373170675,49.24373874664307,49.31530812011546,37219.11
"(3, 2)",1,0.4344034876331728,43.41977306980762,43.50491458892822,43.59005610804883,65004.82
"(3, 2)",2,0.5258907072901614,40.180446755004866,40.283519439697265,40.386592124389665,91621.52
"(3, 2)",3,0.5599310643846803,37.917708683427186,38.02745315551758,38.13719762760797,112483.74
"(3, 2)",4,0.5706051351825752,36.1575839196661,36.26942047119141,36.38125702271672,127651.41
"(3, 2)",5,0.5766991086823787,34.732702827708025,34.84573377609253,34.958764724477035,140603.86
"(3, 2)",6,0.5765183789189622,33.51242479641646,33.625420322418215,33.73841584841997,150344.03
"(3, 2)",7,0.5743306133234646,32.46765946065033,32.58022619247436,32.692792924298395,159457.52
"(3, 2)",8,0.5741909371291131,31.52322325941089,31.63576261520386,31.748301970996827,165832.82
"(3, 2)",9,0.5780774625558074,30.6738943337906,30.78719543457031,30.900496535350022,171306.04
