base,k,std,low,avg,high
BOSSbase,1,0.003609048777717146,0.24741267783387988,0.24812003839672755,0.24882739895957523
BOSSbase,2,0.00234180696713468,0.24814438896027077,0.24860337469207372,0.24906236042387667
BOSSbase,3,0.005346348166622981,0.24686104970271466,0.24790891468909873,0.2489567796754828
BOSSbase,4,0.008707305910543212,0.24509917989023533,0.24680578049031496,0.24851238109039459
BOSSbase,5,0.017017335789301216,0.23939814705863458,0.24273348358730903,0.2460688201159835
BOSSbase,6,0.026850817391537937,0.22712140990387258,0.232384073412403,0.2376467369209334
BOSSbase,7,0.05809683802882894,0.18899496505299854,0.20038173607739482,0.2117685071017911
BOSSbase,8,0.0737081684245015,0.14168954104868264,0.1561360766081731,0.17058261216766357
medical,1,0.011828693391581395,0.23693144079470643,0.2392498220997422,0.24156820340477794
medical,2,0.015082746227362,0.23569784436016944,0.2386540083019114,0.2416101722436534
medical,3,0.02901181388251449,0.2226583890678448,0.22834460010601984,0.23403081114419488
medical,4,0.031855890450711764,0.20857995884933656,0.2148235986522551,0.22106723845517362
medical,5,0.0417034264802675,0.1905101196878085,0.19868384108772208,0.20685756248763565
medical,6,0.05419420451654583,0.16942335232568417,0.1800452212365704,0.19066709014745664
medical,7,0.05514540676879941,0.18045910876001817,0.19126740988669774,0.20207571101337732
medical,8,0.0871154608973243,0.07311418405756556,0.09018850065686734,0.10726281725616912
portrait,1,0.006984988568038625,0.24651837778783772,0.24788741039151943,0.24925644299520114
portrait,2,0.008372712108265568,0.2462915693480671,0.2479325907679024,0.2495736121877377
portrait,3,0.008246732793537295,0.24629250557044371,0.24790883549829265,0.2495251654261416
portrait,4,0.011961343433813719,0.2444575745758156,0.24680195481140463,0.24914633504699366
portrait,5,0.021580600370067485,0.2375333273104079,0.24176304726282635,0.2459927672152448
portrait,6,0.02628765177359914,0.22922028867025174,0.23437257374584403,0.23952485882143632
portrait,7,0.04241758014736086,0.20601661755517975,0.21433031050189918,0.22264400344861862
portrait,8,0.06678760371278963,0.15196645273806117,0.16505658253769467,0.17814671233732818
